iter,nmi,vmea,ari,loss
0,0.67343,0.67343,0.59242,0.0
0,0.61543,0.61543,0.48315,0.0
1000,0.6648,0.6648,0.58555,1313.6527010498046
1000,0.61375,0.61375,0.47651,631.9758428955079
2000,0.63239,0.63239,0.54197,1259.694593383789
2000,0.58641,0.58641,0.44812,635.53701953125
3000,0.62083,0.62083,0.52904,1236.46720703125
3000,0.56064,0.56064,0.42891,663.1567037353516
4000,0.5855,0.5855,0.48105,1226.7696057128906
4000,0.50943,0.50943,0.37059,627.4870469665527
5000,0.50077,0.50077,0.39087,1283.817319458008
5000,0.43256,0.43256,0.292,653.2653407287597
